asin,url,category,rank,title,price,review_count,rating
B01LP0U5X0,https://www.amazon.com/dp/B01LP0U5X0,Sports & Outdoors,#14,"Amazon Basics 1/2 Inch Extra Thick Exercise Yoga Mat with Carrying Strap, Cushioned Support, for Fitness and Gym Workouts",25.0,"106,737",4.6 out of 5 stars
B001FZCVTM,https://www.amazon.com/dp/B001FZCVTM,Sports & Outdoors,#15,WILSON Championship Tennis Balls,4.0,"14,098",4.7 out of 5 stars
B07CTXRKH8,https://www.amazon.com/dp/B07CTXRKH8,Sports & Outdoors,#17,"Cool Coolers by Fit + Fresh Slim Compact Reusable XL Ice Pack, Perfect for Lunch Boxes, Coolers, and Beach Bags",10.0,"46,351",4.6 out of 5 stars
B074P8MZW9,https://www.amazon.com/dp/B074P8MZW9,Sports & Outdoors,#18,"Franklin Sports X-40 Outdoor Pickleballs - Official Ball of USA Pickleball, APP Tour + US Open - Regulation Size",30.0,"23,834",4.7 out of 5 stars
B0B5F9SZW7,https://www.amazon.com/dp/B0B5F9SZW7,Sports & Outdoors,#19,"Fitbit Inspire 3 Health &-Fitness-Tracker with Stress Management, Workout Intensity, Sleep Tracking, 24/7 Heart Rate and more, Midnight Zen/Black One Size (S & L Bands Included)",80.0,"21,016",4.3 out of 5 stars
B0DTT52MDK,https://www.amazon.com/dp/B0DTT52MDK,Sports & Outdoors,#20,"IDAODAN Electric Balloon Pump, Portable Electric Balloon Blower Machine Balloon Air Pump Dual Nozzle Rose Red 110V 600W Balloon Inflator for Party Decorations",14.0,"5,774",4.5 out of 5 stars
B005FEGYCO,https://www.amazon.com/dp/B005FEGYCO,Sports & Outdoors,#21,"Lighting EVER LED Flashlights High Lumens, Small Flashlight, Waterproof, Adjustable Focus Flash Light for Outdoor, Emergency, AAA Batteries Included, Tactical & Camping Accessories",10.0,"45,000",4.6 out of 5 stars
B0B7CCHPXK,https://www.amazon.com/dp/B0B7CCHPXK,Sports & Outdoors,#22,"200 Card Sleeves Top Loaders for Cards, Arjiekwei 3""X4"" Baseball Cards Protectors Hard Plastic, Premium Toploaders Holder for Trading Sports Football Game Card(100 Top Loaders + 100 Penny Sleeves)",13.0,"4,928",4.6 out of 5 stars
B09DF9NWC7,https://www.amazon.com/dp/B09DF9NWC7,Sports & Outdoors,#25,"Jump Rope, Tangle-Free Rapid Speed Jumping Rope Cable with Ball Bearings for Women, Men, and Kids, Adjustable Steel Jump Rope with Foam Handles for Home Gym Exercise Fitness Workout Equipment & Slim Body",9.0,"21,872",4.4 out of 5 stars
B07BK26C9Y,https://www.amazon.com/dp/B07BK26C9Y,Sports & Outdoors,#26,"Zak Designs Marvel SpiderMan Kids Spout Cover and Built-in Carrying Loop Made of Plastic, Leak-Proof Water Bottle Design (16 oz, BPA-Free)",10.0,"19,629",4.6 out of 5 stars
B07KQR9VXG,https://www.amazon.com/dp/B07KQR9VXG,Sports & Outdoors,#27,"ATERCEL Workout Gloves for Men and Women, Exercise Gloves for Weight Lifting, Cycling, Gym, Training, Breathable and Snug fit",14.0,"42,542",4.6 out of 5 stars
B0BMGYT38K,https://www.amazon.com/dp/B0BMGYT38K,Sports & Outdoors,#28,Callaway Golf Supersoft Golf Balls (2023),25.0,"11,694",4.8 out of 5 stars
